date,mpn,source,kind,qty,price,currency,lead_weeks,stock,note,id
# 一列一筆報價。日期一定要 2026-09-30 這種寫法；幣別照對方報的填，不要自己換算；不知道的欄位留空；最後的 id 永遠留空。# 開頭的列會被略過。
2026-06-18,STM32F103C8T6,Digi-Key,catalog,2400,3.75,USD,31,4100,Findchips 部落格 6/18 快照（交期 30–31 週）,seed0618
2026-09-25,STM32F103C8T6,LCSC,catalog,1,1.6225,USD,,64428,LCSC C8734，9/25 由 Claude 讀取官網,lcsc0925a
2026-09-25,STM32F103C8T6,LCSC,catalog,250,1.1107,USD,,64428,LCSC C8734，9/25 由 Claude 讀取官網,lcsc0925b
2026-09-25,STM32F103C8T6,LCSC,catalog,1000,1.0188,USD,,64428,LCSC C8734，9/25 由 Claude 讀取官網,lcsc0925c
2026-09-25,GD32F103C8T6,LCSC,catalog,1,1.4643,USD,,12565,LCSC C77994，9/25 由 Claude 讀取官網,lcsc0925a
2026-09-25,GD32F103C8T6,LCSC,catalog,250,1.0131,USD,,12565,LCSC C77994，9/25 由 Claude 讀取官網,lcsc0925b
2026-09-25,GD32F103C8T6,LCSC,catalog,1000,0.9317,USD,,12565,LCSC C77994，9/25 由 Claude 讀取官網,lcsc0925c
2026-09-25,ATSAMD21G18A-AU,LCSC,catalog,1,3.4798,USD,,8382,LCSC C78624，9/25 由 Claude 讀取官網,lcsc0925a
2026-09-25,ATSAMD21G18A-AU,LCSC,catalog,250,2.3139,USD,,8382,LCSC C78624，9/25 由 Claude 讀取官網,lcsc0925b
2026-09-25,ATSAMD21G18A-AU,LCSC,catalog,1000,2.1004,USD,,8382,LCSC C78624，9/25 由 Claude 讀取官網,lcsc0925c
